Receptor,Antibody,Valency,Replicate 1,Replicate 2,Replicate 3,Replicate 4
FcgRI,IgG1,4,328,422,777,164
FcgRI,IgG2,4,327,573,990,168
FcgRI,IgG3,4,329,402,898,177
FcgRI,IgG4,4,275,423,611,131
FcgRIIA-131R,IgG1,4,116,169,265,49
FcgRIIA-131R,IgG2,4,36,15,48,4
FcgRIIA-131R,IgG3,4,170,185,399,78
FcgRIIA-131R,IgG4,4,30,13,20,8
FcgRIIA-131H,IgG1,4,289,304,535,108
FcgRIIA-131H,IgG2,4,239,199,170,31
FcgRIIA-131H,IgG3,4,269,330,301,130
FcgRIIA-131H,IgG4,4,110,50,2,15
FcgRIIB-232I,IgG1,4,73,194,255,26
FcgRIIB-232I,IgG2,4,10,21,33,4
FcgRIIB-232I,IgG3,4,117,225,342,58
FcgRIIB-232I,IgG4,4,26,38,93,17
FcgRIIIA-158F,IgG1,4,255,670,1007,263
FcgRIIIA-158F,IgG2,4,7,25,23,8
FcgRIIIA-158F,IgG3,4,321,522,782,261
FcgRIIIA-158F,IgG4,4,2,2,8,4
FcgRIIIA-158V,IgG1,4,246,588,1002,327
FcgRIIIA-158V,IgG2,4,56,178,279,58
FcgRIIIA-158V,IgG3,4,,615,1041,358
FcgRIIIA-158V,IgG4,4,73,128,248,84
FcgRI,IgG1,26,280,546,892,238
FcgRI,IgG2,26,366,386,886,114
FcgRI,IgG3,26,284,509,949,232
FcgRI,IgG4,26,492,425,802,162
FcgRIIA-131R,IgG1,26,248,595,1004,269
FcgRIIA-131R,IgG2,26,131,130,369,36
FcgRIIA-131R,IgG3,26,505,612,1285,269
FcgRIIA-131R,IgG4,26,247,142,331,60
FcgRIIA-131H,IgG1,26,607,580,1293,367
FcgRIIA-131H,IgG2,26,480,389,737,146
FcgRIIA-131H,IgG3,26,368,669,1168,395
FcgRIIA-131H,IgG4,26,577,512,1000,135
FcgRIIB-232I,IgG1,26,130,730,1099,220
FcgRIIB-232I,IgG2,26,54,104,251,22
FcgRIIB-232I,IgG3,26,433,935,737,234
FcgRIIB-232I,IgG4,26,174,324,596,58
FcgRIIIA-158F,IgG1,26,702,1326,1927,687
FcgRIIIA-158F,IgG2,26,16,19,60,8
FcgRIIIA-158F,IgG3,26,781,1661,2620,880
FcgRIIIA-158F,IgG4,26,10,14,38,9
FcgRIIIA-158V,IgG1,26,439,805,1321,375
FcgRIIIA-158V,IgG2,26,128,354,564,106
FcgRIIIA-158V,IgG3,26,875,1309,1852,668
FcgRIIIA-158V,IgG4,26,264,550,1017,231